word 	count	meaning	 posone 	 postwo 	 sentence 
la	1345	just/only; alone, no more	cli.c5.		Ginhangyo ni Layong Uray nga mainom la hiya ha tubig han iya gintikangan.
ka	1235	 you 	pro.ps.		 Usa ka adlaw, nakabati hira han pagbudyong han bantay nga napasabot han pag abot han mga tikasan
man	1132	too; also	cli.c3.		 Kun ano man an ira nakakawat, iginbabahin nira ha ira dato
ako	1129	I	pro.ps.		 An pagsusol, an pagtatagoa ngay an nira kay hadto usa ka beses nasiring nga may ‘da kuan rabbit, nga inin nagmiminakaluoy ha leon nga, “Ayaw gad, leon ayaw gad ako pagkaona
waray	1106	1 no, none, no more, gone 2 speaker of Waray language	mod.	n.	1. Han pamalagiw nira Layong Uray, waray hira sabot nga nakakanay na an abaka han ira bado. 2 Maglipayon nga tawo iton mga Waray.
akon	1092	mine/my	pro.p.		 ” “Kay ini,” kuno, “nga rabbit akon nadakop
ini	1005	this	pro.d.		 Han bata pa ini hi Layong Uray, nasasabtan na an iya kaibahan han nga tanan nga tagabungto
diri	914	not; no	mod.		 Matungod dako na hi Layong Uray, diri na hiya naigo ha iya gintatagoan ha ilarom han puno.
it'	898	this/that (contraction of ito);  is used to instantiate a noun that maybe only true at the moment of speaking	det.c.		 Kun naabot na an mga tikasan, gintatago niya hi Layong Uray ha ilarom hit\' mga puno nga dagko, nga naigbaw it\' mga ugat.
hira	851	they	pro.pp.		 Matungod nga pirmi hira gin aataki, naghimo hira han kuta ha prente han ira bungto
ira	848	their/theirs (they, in intransitive sentence form)	pro.p.		 Nakikig away naman hi Sumigin, api an iba nga kalalakin an ha ira tribo
pa	847	indicates that an action/condition has not been completed yet; still/yet/else/more	cli.c1.		 Han bata pa ini hi Layong Uray, nasasabtan na an iya kaibahan han nga tanan nga tagabungto.
imo	821	your/yours	pro.p		 Siring na la an leon, “Ikaw nga uding ka, hadakpan ko ngani ikaw, bisan it’ imo tae, kakaonon ko
ni	812	cli.c.p.i.; case particle: marker of person; used in front of a proper noun (indirect case)			 Katungod nga namatay an iroy ni Layong Oray han pag anakan niya, nagtubo hi Layong Uray ha pagbabantay ni iya tatay, hi Sumigin
kan	801	indicates possession (use to refer to a person)	det.p.		 Han pagdad-a han mga tikasan kan Layong Uray, kumaruyag an dato ha iya matungod han iya kamahusay ngan kamabusag.
may	784	indicates presence, or place has/have; there is; there are	mod.	mod.	 An pagsusol, an pagtatagoa ngay-an nira kay hadto usa ka beses nasiring nga may ‘da kuan rabbit, nga inin nagmiminakaluoy ha leon nga, “Ayaw gad, leon ayaw gad ako pagkaona.
usa	748	one 	num.reg.		1  Usa an nakadaog han sigkwenta mil nga premyo. 2 Ginbabalos naman ini hin usa nga bantay ha Luksuon.
kun	739	if; when	l.		 Ada, pagkuan hiton, “Buwas, kakadtuon ko it’ hiya hit’ ira balay kun ano it’ resulta niya.
amo	635	1 correct, precise; 2 monkey	modifier	mod.	 Maaram ini hi Sumigin, amo nga pirmi niya gin uupod hi Layong Oray bisan diin hiya makadto
ko	633	I/me/mine/my	pro.ps.		 Kakaonon ko ini yana
hit	571	 that; those; visible/near the hearer (contraction of hiton/ hito nga)	pro.d.		 Kun naabot na an mga tikasan, gintatago niya hi Layong Uray ha ilarom hit\' mga puno nga dagko, nga naigbaw it\' mga ugat
ano	550	what	pro.i.		 Kun ano man an ira nakakawat, iginbabahin nira ha ira dato
gud	550	really; indeed	cli.c2.		 Mahusay-husayan gud hiya.
kon	496	if	l.		 Ambot hito kun matab- ang
niya	485	hers/his/its	pro.ps.		 Maaram ini hi Sumigin, amo nga pirmi niya gin-uupod hi Layong Uray bisan diin hiya makadto.
anak	461	child/offspring	n.		 May anak hiya nga babaye nga nagngangaran nga Layong Uray
ito	453	that	pro.d.		 Kay nakita nga nauro ito’n uding, kahuman nira uuro, ira ito gintatakpan.
didto	447	there (far away); there; over there; to that place; that place	pro.d.		 Iginsisiring nga didto ha Panay hira Layong Uray gindara
sugad	409	like/as if	mod.	mod.	 ” Ini nga amon amay kay maaram man iton hiya manambal, sugad hiton
tikang	407	from; start	v.	n.	 “Hala daw, tikanga ta daw tikang han katikangan
aton	399	ours; belonging to us	pro.pp.		 Bisan didto hiton aton baga mga tuonan, didto hit’ aton abo.
iton	399	var. it\'; that; this (use to state a fact that could only be true at the moment of speaking)	pro.d.		Tikang hadto kuno, amo iton pagtatagoa hiton tai hiton uding.
baga	396	seems like; ember; lung	v.	n.	 1 Ay, Inday, baga ka gud hinin balod.  2 Kuha didto hiton baga ha abohan.
dida	390	there (near by)	pro.d.		 Pamati niya, baga hin may naawas nga dugo dida han tungod.
hini	373	this	pro.d.		 Didto hira magbabantay han pag abot hini nga mga tikasan
liwat	366	also; again	cli.c5.		 Ini, tungod liwat ini han karabaw
ngadto	363	there (farther/further)	pro.d.		 Pinanara hira han mga tikasan ngadto ha ira.
bisan	345	even	l.		1 Maaram ini hi Sumigin, amo nga pirmi niya gin-uupod hi Layong Uray bisan diin hiya makadto. 2 Bisan an mga bisan, \\\\\\\'saypa an mga \\\\\\\'saypa.
para	341	1 for 2 stop/halt 3 eraser	l.	v.	 Dayon ginpamiling han mga tikasan an mga kababayin an para na unta dad-on ha ira lugar
tawo	334	person/human	n.		 Dayon ginsugo han Datu an iya mga tawo nga mag alog ha Musongbusong
ug	328	and	l.		 An mayor waray kalibutan nga iya ito anak ug an anak waray kalibutan nga iya ito tatay, kay waray man ini hira maghikiriglala
kita	323	1 we 2 see; watch 3 profit	pro.ps.	v.	Sumiring, nga l’ong, “Kinahanglan makuha kita hin tambalan kay ini,” kuno… “pamati ko ini, darahog ini
pero	320	but	l.		 Dida han dagkolaay na ini nga mga kabataan, nakada hin mga tres ngada kwatro anyos, an Mayor nasakit, sanla, nahalin kun ngain ngain la nga mga leper colony, pag abot ngadto, nagdisgrasya, naupay, pero waray tugoti pag uli kay baga Sali ginkwarantinas
kami	307	we (exclusive)	pro.pp.		 Desisais kami nga magburugto, umukoy kami didto ha Santa Rosa
kamo	305	you (pl.)	pro.pp.		 Paghinganhi niya ha tuna, ginsiring niya, “Ginsugo ako han aton baga mahal nga Diyos, an tugon niya ha akon amo ini Tikang kuno yana nga adlaw, kamo nga mga tawo dinhi ha kalibotan, ha tuna, it’ iyo pagkaon, tutulo ka beses kada usa ka adlaw
ikaw	292	you	pro.ps.		 “Sige, ikaw la anay,” kuno
iyo	290	yours/your (plural)	pro.pp.		 Ginsiring hiya nga, “Sidnga didto, karabaw, it’ mga tawo nga it’ iyo pagkaon, usa la pagkaon hit kada tulo ka adlaw
ngatanan	282	all	n.		 Ha nga tanan nga nagpasibaya, an radyo la an nagpanalipod ngan naghatag hin lugar han literatura ha Waray.
damo	270	many	mod.		 Hadto nga panahon damo an tikasan nga nangangawat ha iba iba nga bungto
dyos	253	god	n.		 \tGen 1 1 Ha tinikangan an Dios naghimo han mga langit ngan han tuna.
adto	252	there (far away); a place far from the speaker and/or the person spoken to	pro.d.		 Ada katima hadto, asya adto nga baga natalwas na it’ nga nahinglaw
tuna	250	earth	n.		 Hadto han baga una nga panahon, an karabaw ginsugo han aton Diyos pagkanhi ha tuna.
nira	246	theirs	pro.p.		 Napirdi an tribo nira
kundi	245	but; however	l.		 Diri niya karuyag paglatubon an drayber kundi karuyag la ni Aurillo ipakita in\' usa nga kahimtang ha aton sosyudad.
amon	243	our	pro.p.		 ” Ini nga amon amay kay maaram man iton hiya manambal, sugad hiton
di	243	not (short for diri)	mod.		 ” Nga’long, “Kay di na man hiya nakakalakat, kay adi nadadat ogan it iya tiil hiton bato
ba	238	indicates a question	cli.c3		 Di pagkuan hiton nga babaye, nagsisinayaw iton hiya, baga iba na ba an iya gios didto han sayaw
siniring	224	said/spoke	v.		 ” Han nakasakay na hiya, siniring dayon hi Mana Pura, “Hala, masisina gud hi Jess kun umabot niyan nga waray pa hiya
hiton	217	that; those	pro.d.		 Ini, tungod naman ini hiton kuan, uding.
maupay	217	good	mod.	mod.	 ” Amo ito nga it’ uding kay tungod hit’ kahadlok hit’ leon, kada kahuman hit’ ira pag uro, ira gintatak upan hin maupay it’ ira tai
ta	217	we (short for kita)	pro.ps.		 “Hala daw, tikanga ta daw tikang han katikangan
o	214	or	l.		Han bag o pala nga nahihimo an Balangiga, an naghahadi hadto hi Sumigin
ada	211	1 there (near by) 2 clitic particle class 6	n.	cli.c6	 Sumiring nga, “Mano, pwede kumadi ka la anay niyan ha balay kay may ada namon igpapakita ha imo
iba	211	other	n.		 Hadto nga panahon damo an tikasan nga nangangawat ha iba iba nga bungto
ak	210	I; contraction for ako	pro.p.		 Diri ako magsasaad nga Winaray na pirmi it’ ak gagamiton, pero tikang yana, mag-aaram na ako paghigugma han aton kalugaringon nga yinaknan
mo	210	your	pro.ps.		 Ginpakianhan hiya han baga nagsugo ha iya, “Ano, naku anan mo didto an mga tawo, nasiring mo na
upod	200	companion	n.	v.	Hi Nanay la iton akon upod ha balay. 2 Han pagdako na ni Layong Uray, na didto na hiya upod ha iba nga mga magurang nga kababayin-an.
daw	197	1 indicates hearsay	cli.c3.		 1 Ginsisiring nga anak daw hiya han mga engkanto. 2 Daw bato-barani an iya mga mata.
hadto	194	at that time; than that/those of	pro.d.		Han bag o pala nga nahihimo an Balangiga, an naghahadi hadto hi Sumigin
kuno	189	1 was said by someone;according to; as told by 	cli.c5.		 “Sige, ikaw la anay,” kuno.
lalaki	181	male/man	n.		 Pero diri nakag lingaya, nabuot la an lalaki
adlaw	177	day/sun	n.		 Ginsiring hiya nga, “Sidnga didto, karabaw, it’ mga tawo nga it’ iyo pagkaon, usa la pagkaon hit kada tulo ka adlaw
ayaw	162	do not	mod.		 An pagsusol, an pagtatagoa ngay an nira kay hadto usa ka beses nasiring nga may ‘da kuan rabbit, nga inin nagmiminakaluoy ha leon nga, “Ayaw gad, leon ayaw gad ako pagkaona
basi	159	so that	l.		 Kay basi tikangan ini’n pasaro
babaye	156	female/woman	n.		 May anak hiya nga babaye nga nagngangaran nga Layong Uray
may 'da	155	there is/there are; has/have; wealthy	v.		 Hadto nga panahon may \'da magsangkay
dinhi	151	here	pro.d.		 ” Nga’long, “Naagi ako dinhi
tungod	151	concerning/about/related to	l.		 Ini, tungod naman ini hiton kuan, uding
tungud	149	concerning/about	l.		 ngan iya kinuha an usa han mga gusok, ngan kiputon an unud ha tungud hito
yana	146	now; at present	n.	mod.	 Kakaonon ko ini yana
ini'n 	145	this (contraction of \'ini nga\')	pro.d.		 An pagsusol, an pagtatagoa ngay-an nira kay hadto usa ka beses nasiring nga may ‘da kuan rabbit, nga inin nagmiminakaluoy ha leon nga, “Ayaw gad, leon ayaw gad ako pagkaona
ngani	145	although; according to	l.		 Ginsisiring nga nainom ngani ini hi Layong Uray, nasilhag an tubig nga naagi ha iya but-ol.
hito	141	that (near the person spoken to)	pro.d.		 Kay hin-o man an nagdat-og hito?
dako	140	big; huge; vast	mod.		 Matungod dako na hi Layong Uray, diri na hiya naigo ha iya gintatagoan ha ilarom han puno
san	137	of; see han	pro.d.		Bisan an bulan maparong Maghahanap ak’ sin bituon, Dadawgan ko, luludhan ko, Tambal san gugma nga ilo
duha	136	two (numeral)	n.		 Pag abot ngadto tabok, ibutang an bata, mabalik na unta para han usa, hala gad daw kay dinmaralwa, naanod ito nga itay, nagkabulag an duha nga bata, waray na iroy, waray an amay, nagkabulag pa gud hira
hin-o	135	who	pro.i.		 Waray gud hiya pagsusumat kun hin-o
ginuo	133	lord/god	n.		 Ha KZRH una nga ginpadayag an mga makasaysayan nga mga pasamwak bahin han Ikaduha nga Gyera Mundyal
ngaran	129	name	n.		 Niyan, nagkaanak hira hin magkaruha, magkasilalaki, an ngaran hi Pedrito ngan Nandito
diin	123	where	pro.i.		 Maaram ini hi Sumigin, amo nga pirmi niya gin uupod hi Layong Oray bisan diin hiya makadto
nasiring	123	saying/says	v.		 An pagsusol, an pagtatagoa ngay an nira kay hadto usa ka beses nasiring nga may ‘da kuan rabbit, nga inin nagmiminakaluoy ha leon nga, “Ayaw gad, leon ayaw gad ako pagkaona
gihap'	121	also (see also gihapon)	mod.		 \'Takay, malaksi man gihap\' an uding dumalagan
maaram	121	in the know; knowledgable	mod.		 Iton nga akon Tatay, maaram it’ hiya manambal
bug-os	120	whole	mod.		 Kay pag-eskwela ko han high school, waray pa dinhi, uusa pa la an high school han bug-os han Leyte
bangin	119	maybe	mod.		 Sumiring ito nga, an iya ngaran… “Niyan, bangin magkuratsa iton hi Consuelo, ayaw pagpasayawa kay nahimalansag it’ bulan
amay	116	father	n.		 Ini nga amon amay kay maaram man iton hiya manambal.
balay	116	house	n.		 Sumiring nga, “Mano, pwede kumadi ka la anay niyan ha balay kay may ada namon igpapakita ha imo
dayon	114	1 immediately 2 welcome!	mod.	v.	 \tWaray man hiya iba nga binuhat, sakay dayon
niyan	113	later on	mod.		 Sumiring nga, “Mano, pwede kumadi ka la anay niyan ha balay kay may ada namon igpapakita ha imo
dire	110	no; not; negative	mod.		 Pagsaysay pa ni Lebico nga igo na ini nga santopon kunta han aton mga lider gobyerno anu an dako nga epekto hini ha aton kalibungan kontra han aton seguridad ha pagkaon labi na nga duro na ka epektibo an grabe nga pagbag o han aton klima labot nala han direkta nga epekto hini ha pakabuhi han mga parag uma ngan katawhan ha bug os nga probinsya
kada	107	each	mod.		 ” Amo ito nga it’ uding kay tungod hit’ kahadlok hit’ leon, kada kahuman hit’ ira pag uro, ira gintatak upan hin maupay it’ ira tai
siring	107	speak	v.		 Kay siring niya, “Kay baga buhi pa gad ini
kanan	106	belongs to (non-person)	det.c.		Ayaw la Padre kahadlok kay ini kanan Diyos mga hatag, an hiroti nga diri ka mahulog, diri ka matumba ug ayaw na pagtrabaho hin magbug-at.
asya	105	to be, proper, appropriate, fitting	v.		 Ada katima hadto, asya adto nga baga natalwas na it’ nga nahinglaw.
asawa	104	spouse (husband or wife)	n.		 A da, katima na hiton, baga human na an sayaw nasiring hiya nga l’ong, “Dinhi la kamo kay malakat ako,” ginsiring an iya asawa
panahon	103	time/era; weather condition	n.		 Hadto nga panahon damo an tikasan nga nangangawat ha iba iba nga bungto
hain	102	where	pro.i.		 Maaram ka kun hain ito uukoy
anay	101	give time to do something; termite	mod.	n.	Kuhaa daw anay ito nga bato.
naton	101	we; our (inclusive)	pro.pp.		 An pansit nga mahugaw ayon han dila, langag-langag, mga but-ol naton din’ ha Tacloban
niyo	101	you; yours	pro.pp.		 Nagsiring nga, “Ginpa inop hira nga sumiring ito nga ayaw niyo paglinaboti ito nga bata kay mabubuhi it’ hiya hin iya kalugaringon, kay kada gab i napakanhi gud ako ha balay
adi	97	here	pro.d.		 ” Nga’long, “Kay di na man hiya nakakalakat, kay adi nadadat ogan it iya tiil hiton bato
sanglit	95	therefore	l.		 “Waray pa hini denhe an mga kaso ha rehiyon 8 nga iya pagbabaydan, sanglit klarado nga an paghikalupad ni Palparan ha Singapore ngan ha yana waray na magpapakita tungod han gin issue nga warrant of arrest, in nagpapakita han iya ka guilty han iya mga binuhatan ha katawhan,” pagsaysay pa ni Lebico
bawbaw	94	above/up/on top of	mod.		 Ha 5 bawbaw han Kanhuraw namumutang an City Hall kun diin liwat tinatamdan an maanyag nga dagat han Kankabatok
bugto	94	sibling (brother or sister)	n.		 Kaubos hito nga pananom ni Tatay, pira nga bugto ko an kinuha
sa	94	dialectal var. Calbayog equivalent for ha 	det.c.		 Matutuman kay larang man kuno sa Diyos, pero limbong han iya manghod
siday	93	poem	n.		 Han magtikang pagkaabot han mga kontribusyon, diri la tag usa, duha, o tulo ka mga linya an ira iginpapadara—bug os gud nga siday
karuyag	92	like/enjoy/want	v.	n.	 \tBawion ta an istorya, ito nga tatay naanod ha usa nga bungto, didto hiya pagpatigayon pagpakabuhi, tungos nga usa hiya nga politico, ha kanunay dida hito nga bungto kumandidato, nagdaog na liwat hiya ka mayor, pagdaog, nagproklamar hiya hin pagtawo, damo an kababayin an nga karuyag makig asawa ha iya
pulong	91	word	n.		 Tinawag nga Kana ini nga yinaknan tungod han agsob nga paggamit han pulong nga “kana”--“ito man” ha ira himangraw.
unta	91	hope; hopefully (clitic particle class 9)	cli.c6.		 Dayon ginpamiling han mga tikasan an mga kababayin an para na unta dad on ha ira lugar
duro	90	very	mod.		 Pero duro an iya paniguro, waray katataw i
gihapon	90	also/as well	mod.		 Ada, an kapitan lugod an napriso, hira la gihapon an naglungon nga pamilya
gin	90	affix, indicates a verb in the past tense emphasizing the actor (accusive) 			 Maaram ini hi Sumigin, amo nga pirmi niya gin-uupod hi Layong Uray bisan diin hiya makadto.
tubig	90	water	n.		 Ginsisiring nga nainom ngani ini hi Layong Uray, nasilhag an tubig nga naagi ha iya but ol
kag	89	and	l.		 An usa nga linya aada ha napulo kag unom 16 ngadto ha napulo kag walo 18 kasilaba
kamot	89	hand	n.		 An kan Francisco Aurillo siday nga ginngaranan “Panakayan” hiunong ini han kakurian nga inaagian han manarakay nga aada ha kamot han singabot nga drayber ngan kondoktor
nakada	89	present; existing	v.		 Dida han dagkolaay na ini nga mga kabataan, nakada hin mga tres ngada kwatro anyos, an Mayor nasakit, sanla, nahalin kun ngain ngain la nga mga leper colony, pag abot ngadto, nagdisgrasya, naupay, pero waray tugoti pag uli kay baga Sali ginkwarantinas
bata	87	child/youth	n.		 Han bata pa ini hi Layong Uray, nasasabtan na an iya kaibahan han nga tanan nga tagabungto
tagsa	86	each	mod.		 Pinaagi han ira tagsa tagsa nga bulig, an premyo para hini nga paisan isan in nagin P75
labi	85	including; more than	mod.		 1 Diri gud sabot ha publiko ini nga mga publikasyon labi na dinhi ha Leyte ngan Samar 2 An uripon nga nayon labi nga mapait kay han kamatayon.
nakadto	84	going to	v.		 Sige la an ira istorya hasta nga nagkakatutnga na, niyan, an ira inay kay nakadto la han harumi han barko, diri nakakagawas kay trinangkahan han kapitan, nagpipinamati baa, mga anak ko gud adi
namon	84	our (exclusive)	pro.p		 Sumiring nga, “Mano, pwede kumadi ka la anay niyan ha balay kay may ada namon igpapakita ha imo
dara	83	bring, take, convey from one place to another; cargo, load, provisions; content, substance; effect, result; a present or gift	v.	n.	 Gin-agian hiya hin tutulo ka tawo, may dara nga irimnon nga makahurubog
tuig	82	year	n.		 Pero ikaw, Pedro han napulo ka tuig waray ito manhimarbas
kinahanglan	81	must, ought, should/needed;necessary; essential	v.	mod.	Niyan, babalikon ta an pag-inayurar, linmabay na liwat ini nga barko, paduong dida han pantalan, Kapitan, kombidado ko ikaw han Lunes, kinahanglan umatinder ka, kun di ka umatinder di ko ikaw paduduongon hiton amon pantalan, Oo, mayor maatinder gad ako, paduonga la ako
hadi	80	king; this (used to indicate anything that is near the speaker but may be far from the listener	n.		1 Napausa an hadi kun kay ano nga ini nga rasyon nagdodoble man. 2 Gintagan ka ni Mayor hadi nga kalo?
nag-anak	80	gave birth	v.		 Kaiha-iha ano, nag-anak hira
kinabuhi	78	life	n.		 Pero an mga sumat ha telebisyon diri apiki ngan diri sugad kasuok han mga sumat ha radyo diin mahibabatian an mga kagulalang ha kinabuhi ni Polano og Polana, mga uropod, sangkay, kontra og kaaway ha politika
nagsiring	78	said/spoke	v.		 ” “Oo, panginoon…nagkuan na ako, nagsiring na
aada	77	there	pro.d.		 “Patangkaa iton aada ha aton tugbang nga balay
tatay	77	father	n.		 \tBawion ta an istorya, ito nga tatay naanod ha usa nga bungto, didto hiya pagpatigayon pagpakabuhi, tungos nga usa hiya nga politico, ha kanunay dida hito nga bungto kumandidato, nagdaog na liwat hiya ka mayor, pagdaog, nagproklamar hiya hin pagtawo, damo an kababayin an nga karuyag makig asawa ha iya
lugar	74	place	n.		 Dayon ginpamiling han mga tikasan an mga kababayin an para na unta dad on ha ira lugar
hasta	73	1 down to including 2 until, till	mod.		1 Gindara han kawatan hasta an ira tinuon nga kan-on. 2 Sige la an ira istorya hasta nga nagkakatutnga na, niyan, an ira inay kay nakadto la han harani barko, diri nakakagawas kay trinangkahan han kapitan, nagpipinamati baa, mga anak ko gud adi.
kuan	73	something, anything, somebody (word used by a person when he/she can\\\'t remember or can\\\'t immediately verbalize what he/she wants to say)	n.		 An pagsusol, an pagtatagoa ngay-an nira kay hadto usa ka beses nasiring nga may ‘da kuan rabbit, nga inin nagmiminakaluoy ha leon nga, “Ayaw gad, leon ayaw gad ako pagkaona.
sorogoon	73	helper/maid/assistant	n.		 \tGen 12 16 Ngan ini nagdara hin maupay kan Abram tungud han iya asawa ngan hiya nagkaada mga karnero ngan mga baka, ngan mga lalaki nga asno, ngan mga sorogoon nga lalaki, ngan mga sorogoon nga babaye, ngan mga babaye nga asno, ngan mga kamelyo.
ngay-an	71	really	cli.c6.		 Kay ini ka ngay-an, Hangagay, ikaw ngay-an an nagpipinangagat ha akon
sige	71	okay/alright	mod.		 Han sige naman pakikig away han mga kalalakin an, namamalagiw naman an mga kababayen an
atubangan	70	at the front	mod.		 atubangan han Divine Word University DWU dida han 1972
hini nga	70	this/these (near the speaker and addressee; see hini	pro.d.		 ” Naagi an ini hinin usa nga uding
im'	70	contraction of imo: yours	pro.p.		 Pabay i la aco Nga mahigugma sa im Tumana cay amo man Nga si icao an mabulag, Conde Eday, nga ca manmatyan co Ayao itugot ayao nga iba an mamocad
tanan	68	all	n.		 Han bata pa ini hi Layong Uray, nasasabtan na an iya kaibahan han nga tanan nga tagabungto
nanay	67	mother	n.		 Dinhi ka la, bilin ko niyan nga gab i kay makadto ako kanda nanay
pirmi	67	always	mod.		 Maaram ini hi Sumigin, amo nga pirmi niya gin uupod hi Layong Oray bisan diin hiya makadto
pito	66	seven	num.reg.		Kun hi Kain iginbulus hin makapito, matuod nga hi Lamek makapitoan kag pito
inabut	65	arrived	v.		 Kondi inabut ako hin kakulba Ug an kamingaw namara para Kay kon tingali an ak pagla um Bangin daw la nim kawangon
sinmiring	65	said	v.		 Sinmiring dayon ini nga manangggete, “Bila kadia ako kay mananggot ako ha tabok
pag-abot	64	the act of arriving; arrival; advent; coming	v.	n	 Pag-abot ngadto ha tabok, mananggot ito hiya
am	62	contraction for amon, meaning \"our\"	pro.pp.		 May ko nahibaruan nga usa nga yarakanun tikang ha am
basta	62	Expression: this and no other; just because			 Pagkita niya, waray niya hinkikit-an nga tawo, dida han tungod na han pangpang han salog an barko, basta kay pwerte hin kadako hin barko, asay niya hinkit an an letra nga “Between Barugo & Carigara
bungto	62	town	n.		 Hadto nga panahon damo an tikasan nga nangangawat ha iba iba nga bungto
gatos	62	one hundred	num.reg.		 \tGen 5 3 Ngan hi Adam nabuhi hin usa ka gatus katloan ka tuig, ngan naganak hin lalaki nga pariho ha iya, ngan ha iya pamayhon
nag	62	past perfected tense			 May nag anak didto
ngada	62	to that place/condition (near the person spoken to)	pro.d.		 Waray na, waray na makagpainop hiya nga sugad hito an iya kabutangan, ngada na han kadaraga.
angay	61	fitting; nice and good in appearance; good and proper to look at	mod.		 Waray niya panuyo magtutdo hin moral, diri hiya nag aaghat ha aton nga pagtimbangon kun hin-o an sayop ngan tama, hin-o an angay sirotan ngan pasidunggan
babayi	61	female/woman	n.		 Hadto nga panahon may mag asawa, an lalaki Mayor, an babayi mahusay ngan may kwarta
pati	61	additionally	mod.		 Ngan bisan ngani pati it’ imo lawas ipakaon gihap ha ira, kay para hira makakaon hin tulo ka beses kada usa ka adlaw
pangulo	60	chief/head	n.		 \tGen 21 22 Ngan nahanabu nga hadto nga panahon, nga hi Abimelek ngan hi Pikol, an pangolo han iya kasonda-lohan, nagyakan hin pagsiring kan Abraham An Dios aada ha imo ha ngatanan nga imo binubuhat \t
butnga	59	in the center	mod.		 Niyan han mga alas otso na han gab i, an taga dulong ngan han taga ulin nga bantay nagsudoy han barko, hira, nagkita dida butnga
didi	59	here 	pro.d.		Niyan, babalikon ta an duha nga bata, Hi Pedrito kay amo an nakatabok, nag-apply hin trabaho dida han mayor, \\
gindara	59	was carried (object focus)	v.		 Iginsisiring nga didto ha Panay hira Layong Uray gindara
mano	59	1 older brother; older male cousin; polite address to an older man 2 hand	n.		 Hi Mano palabio mahal magbaligya Adobo sitsaron upod an mantika Ginpadisan hin luyat nga tarong Hi mano Palabio mahal la gihapon
bag-o	58	new	mod.		 Ito’n nga baga hin bag-o pala, bag-o pa la nga gin-aagian
kahuman	58	after	mod.		 Kay nakita nga nauro ito’n uding, kahuman nira uuro, ira ito gintatakpan
kinuha	58	took/fetched	v.		 Kaubos hito nga pananom ni Tatay, pira nga bugto ko an kinuha
pira	58	few, how many?; how much?	mod.	pro.i.	 Kaubos hito nga pananom ni Tatay, pira nga bugto ko an kinuha
tulo	58	three	num.reg.		 Ginsiring hiya nga, “Sidnga didto,\\
tapos	57	end, finish, complete; feast at the ninth day of a novena	v.	n.	1 Hiniyom la hiya han iya hiyom nga makuri hikalimtan, tapos nagyakan, “Basta, imo na iton
puno	55	full	mod.		 Kun naabot na an mga tikasan, gintatago niya hi LayongOray ha ilarom hit mga puno nga dagko, nga naigbaw it mga ugat
pwede	55	allowed; to be able to; to be possible	mod.		 Sumiring nga, “Mano, pwede kumadi ka la anay niyan ha balay kay may ada namon igpapakita ha imo
mas	54	more	mod.		 Ha pagkamatuod, an ira kasarang mas haruhaloag pa kompara han kadamo han paragsiday nga nailakip dinhi
mata	54	to wake/eye	v.	n.	 Baga gud ini hira hin natindog ha may pulpito diin mayda nira katungod manlapdos han hin o man nga may maraot nga ginawian—magpakasasala nga kag anak, pabaya nga bana, hubya nga asawa, suwail nga anak, di maupay nga magturotdo, kurakot nga mga politiko, waray batasan nga traysikol drayber, bisan hin o nga makikit an han matadong ngan takos ha ira mga mata
buhi	53	1 alive 2 let go	mod.	v.	 Pamaagi hini, nasasabtan han mga taga Musongbusong nga buhi pa hi Layong Uray kay sige pa man an pag alog para han iya tubig
